Step,Value
870447,35.0
870497,35.0
870547,35.0
870697,35.0
871097,35.0
871197,35.0
871397,35.0
871447,35.0
871597,35.0
871697,35.0
872047,35.0
872597,35.0
872697,35.0
872997,35.0
873047,35.0
873147,35.0
873247,35.0
873447,35.0
873647,35.0
873747,35.0
873997,35.0
874047,35.0
874097,35.0
874497,35.0
874797,35.0
874997,35.0
875047,35.0
875097,35.0
875547,35.0
875647,35.0
875797,35.0
876097,35.0
876147,35.0
876497,35.0
876597,35.0
877597,35.0
877647,35.0
877697,35.0
877847,35.0
877897,35.0
877947,35.0
878847,34.0
878997,34.0
879097,34.0
879447,34.0
879497,34.0
879697,34.0
879797,34.0
879897,34.0
880147,34.0
880247,34.0
880347,34.0
880547,34.0
881047,34.0
881447,34.0
881497,34.0
881547,34.0
881647,34.0
881797,34.0
881947,34.0
882047,34.0
